serialno,sample_geog,age,race,sex,AGEP,SEX,RAC1P
2013001159764,1,20 to 35,white,male,21,1,1
2013001159920,1,20 to 35,white,male,35,1,1
2013001176556,1,20 to 35,white,male,27,1,1
2013001190750,1,20 to 35,white,male,26,1,1
2013001190750,1,20 to 35,white,male,33,1,1
2013001191434,1,20 to 35,white,male,22,1,1
2013001195075,1,20 to 35,white,male,20,1,1
2013001209515,1,20 to 35,white,male,30,1,1
2013001212091,1,20 to 35,white,male,30,1,1
2013001213130,1,20 to 35,white,male,28,1,1
2013001253981,1,20 to 35,white,male,22,1,1
2013001256798,1,20 to 35,white,male,32,1,1
2013001257376,1,20 to 35,white,male,21,1,1
2013001262406,1,20 to 35,white,male,31,1,1
2013001270929,1,20 to 35,white,male,32,1,1
2013001288884,1,20 to 35,white,male,32,1,1
2013001323909,1,20 to 35,white,male,31,1,1
2013001329709,1,20 to 35,white,male,30,1,1
2013001335983,1,20 to 35,white,male,29,1,1
2013001342857,1,20 to 35,white,male,23,1,1
2013001350525,1,20 to 35,white,male,30,1,1
2013001350525,1,20 to 35,white,male,23,1,1
2013001357284,1,20 to 35,white,male,29,1,1
2013001357284,1,20 to 35,white,male,23,1,1
2013001386608,1,20 to 35,white,male,27,1,1
2013001466874,1,20 to 35,white,male,26,1,1
2013001473598,1,20 to 35,white,male,33,1,1
2013001476457,1,20 to 35,white,male,33,1,1
2013001484309,1,20 to 35,white,male,33,1,1
2009000016369,1,20 to 35,white,male,33,1,1
2009000020880,1,20 to 35,white,male,33,1,1
2009000029795,1,20 to 35,white,male,20,1,1
2009000035820,1,20 to 35,white,male,24,1,1
2009000035821,1,20 to 35,white,male,25,1,1
2009000040094,1,20 to 35,white,male,34,1,1
2009000042831,1,20 to 35,white,male,30,1,1
2009000071260,1,20 to 35,white,male,22,1,1
2009000072512,1,20 to 35,white,male,22,1,1
2009000076888,1,20 to 35,white,male,20,1,1
2009000077311,1,20 to 35,white,male,24,1,1
2009000129716,1,20 to 35,white,male,26,1,1
2009000134448,1,20 to 35,white,male,20,1,1
2009000155640,1,20 to 35,white,male,26,1,1
2009000160798,1,20 to 35,white,male,20,1,1
