state,pumano,hhid,serialno,inc,child,veh,wkr
35,601,237,2.009E+12,3,2,2,1
35,601,238,2.009E+12,4,2,3,3
35,603,239,2.009E+12,3,2,2,1
35,604,240,2.009E+12,5,1,4,3
35,605,241,2.009E+12,1,2,2,1
35,601,242,2.009E+12,4,2,4,2
35,602,243,2.009E+12,2,1,2,3
35,602,244,2.009E+12,3,1,4,2
35,602,245,2.009E+12,1,1,3,3
35,500,246,2.009E+12,5,1,4,3
35,604,247,2.009E+12,5,1,3,3
35,601,248,2.009E+12,1,2,2,2
35,601,249,2.009E+12,3,1,3,3
35,602,250,2.009E+12,4,1,3,2
35,500,251,2.009E+12,3,2,2,2
35,605,252,2.009E+12,2,2,2,2
35,500,253,2.009E+12,5,1,4,3
35,602,254,2.009E+12,5,2,4,3
35,601,255,2.009E+12,5,2,4,2
35,605,256,2.009E+12,3,1,2,2
35,604,257,2.009E+12,1,2,1,1
35,500,258,2.009E+12,4,1,3,3
35,601,259,2.009E+12,5,2,3,3
35,604,260,2.009E+12,4,2,2,2
35,604,261,2.009E+12,2,1,3,3
35,603,262,2.009E+12,2,1,2,2
35,605,263,2.009E+12,1,2,3,1
35,601,264,2.009E+12,1,2,2,2
35,500,265,2.009E+12,1,2,2,2
35,500,266,2.009E+12,5,2,5,3
35,602,267,2.009E+12,4,2,2,1
35,603,268,2.009E+12,3,2,2,1
35,605,269,2.009E+12,1,2,1,1
35,500,270,2.009E+12,2,2,2,2
35,601,271,2.009E+12,5,2,3,3
35,500,272,2.009E+12,5,2,4,3
35,500,273,2.009E+12,4,2,2,2
35,500,274,2.009E+12,3,2,4,1
35,605,275,2.009E+12,5,2,2,2
35,604,276,2.009E+12,4,1,5,4
35,500,277,2.009E+12,4,2,4,4
35,604,278,2.009E+12,4,1,4,3
35,603,279,2.009E+12,2,2,2,2
35,500,280,2.009E+12,2,2,3,2
35,602,281,2.009E+12,5,2,5,4
35,601,282,2.009E+12,1,2,1,1
35,601,283,2.009E+12,3,2,3,1
35,603,284,2.009E+12,3,1,1,4
35,500,285,2.009E+12,1,2,2,1
35,601,286,2.009E+12,4,2,4,3
35,602,287,2.009E+12,1,1,2,3
35,604,288,2.009E+12,1,2,2,2
35,601,289,2.009E+12,4,2,3,3
35,601,290,2.009E+12,2,1,3,2
35,601,291,2.009E+12,5,2,2,2
35,604,292,2.009E+12,4,1,5,4
35,605,293,2.009E+12,2,1,4,2
35,605,294,2.009E+12,3,2,3,3
35,500,295,2.009E+12,2,1,4,2
35,500,296,2.009E+12,4,1,5,2
35,605,297,2.009E+12,4,1,4,4
35,500,298,2.009E+12,1,2,2,1
35,500,299,2.009E+12,1,2,2,2
35,601,300,2.009E+12,5,2,3,3
35,603,301,2.009E+12,4,2,3,3
35,604,302,2.009E+12,3,2,1,2
35,603,303,2.009E+12,3,2,2,2
35,601,304,2.009E+12,4,2,3,1
35,603,305,2.009E+12,4,1,2,2
35,604,306,2.009E+12,5,2,3,3
35,601,307,2.009E+12,4,2,3,3
35,601,308,2.009E+12,5,1,3,3
35,500,309,2.009E+12,4,2,3,1
35,602,310,2.009E+12,2,2,2,1
35,601,311,2.009E+12,4,2,5,2
35,601,312,2.009E+12,1,2,2,2
35,500,313,2.009E+12,4,2,3,2
35,604,314,2.009E+12,2,2,1,1
35,602,315,2.009E+12,5,1,4,3
35,603,316,2.009E+12,3,2,2,2
35,500,317,2.009E+12,2,1,5,2
35,500,318,2.009E+12,2,1,4,2
35,601,319,2.009E+12,4,2,2,2
35,603,320,2.009E+12,2,2,3,2
35,601,321,2.009E+12,4,2,3,3
35,601,322,2.009E+12,2,2,2,2
35,500,323,2.009E+12,4,2,3,2
35,500,324,2.009E+12,3,1,4,3
35,500,325,2.009E+12,4,1,5,4
35,500,326,2.009E+12,3,1,2,3
35,500,327,2.009E+12,5,1,3,2
35,605,328,2.009E+12,5,1,5,3
35,602,329,2.009E+12,4,2,4,1
35,603,330,2.009E+12,5,2,3,3
35,603,331,2.009E+12,3,2,2,3
35,601,332,2.009E+12,4,2,3,3
35,603,333,2.009E+12,3,2,3,3
35,500,334,2.009E+12,1,2,2,1
35,602,335,2.009E+12,4,1,3,3
35,601,336,2.009E+12,4,2,2,2
35,603,337,2.009E+12,1,1,3,3
35,601,338,2.009E+12,3,2,3,1
35,605,339,2.009E+12,1,2,1,1
35,602,340,2.009E+12,2,1,3,1
35,605,341,2.009E+12,1,2,2,1
35,602,342,2.009E+12,3,2,3,2
35,604,343,2.009E+12,2,2,2,2
35,602,344,2.009E+12,1,2,2,1
35,601,345,2.009E+12,3,2,2,1
35,605,346,2.009E+12,3,2,3,2
35,500,347,2.009E+12,5,2,1,3
35,601,348,2.009E+12,5,2,4,3
35,603,349,2.009E+12,1,2,3,2
35,500,350,2.009E+12,4,2,4,3
35,604,351,2.009E+12,1,2,2,1
35,602,352,2.009E+12,5,2,4,2
35,604,353,2.009E+12,5,2,4,1
35,605,354,2.009E+12,2,2,2,2
35,603,355,2.009E+12,5,2,3,3
35,601,356,2.009E+12,3,2,4,1
35,601,357,2.009E+12,5,2,3,3
35,601,358,2.009E+12,5,2,2,2
35,603,359,2.009E+12,2,2,2,2
35,605,360,2.009E+12,1,2,1,1
35,602,361,2.009E+12,2,2,2,1
35,604,362,2.009E+12,5,1,2,2
35,500,363,2.009E+12,1,2,2,1
35,604,364,2.009E+12,3,2,3,2
35,500,365,2.009E+12,4,2,3,2
35,602,366,2.009E+12,3,1,3,3
35,602,367,2.009E+12,5,2,3,2
35,602,368,2.009E+12,1,2,2,1
35,500,369,2.009E+12,2,1,3,3
35,603,370,2.009E+12,3,2,2,1
35,500,371,2.009E+12,5,2,4,3
35,604,372,2.009E+12,1,2,2,1
35,601,373,2.009E+12,5,2,3,3
35,603,374,2.009E+12,4,1,3,3
35,603,375,2.009E+12,5,1,4,2
35,605,376,2.009E+12,2,2,2,1
35,601,377,2.009E+12,2,2,1,1
35,603,378,2.009E+12,4,2,4,2
35,601,379,2.009E+12,2,1,3,3
35,602,380,2.009E+12,1,2,2,1
35,500,381,2.009E+12,1,1,3,1
35,500,382,2.009E+12,2,1,3,2
35,601,383,2.009E+12,2,2,2,2
35,500,384,2.009E+12,1,2,2,1
35,602,385,2.009E+12,2,2,3,3
35,500,386,2.009E+12,4,2,4,3
35,603,387,2.009E+12,1,2,3,1
35,601,388,2.009E+12,5,1,2,3
35,605,389,2.009E+12,2,1,5,2
35,604,390,2.009E+12,5,2,5,4
35,500,391,2.009E+12,2,2,2,2
35,602,392,2.009E+12,5,1,3,3
35,603,393,2.009E+12,5,2,2,2
35,603,394,2.009E+12,4,1,4,4
35,605,395,2.009E+12,4,2,2,2
35,604,396,2.009E+12,2,1,2,1
35,602,397,2.009E+12,3,2,2,2
35,605,398,2.009E+12,4,1,3,3
35,500,399,2.009E+12,5,1,5,3
35,603,400,2.009E+12,5,2,5,3
35,500,401,2.009E+12,2,2,2,1
35,602,402,2.009E+12,1,2,2,1
35,500,403,2.009E+12,1,1,3,1
35,605,404,2.009E+12,5,1,4,3
35,604,405,2.009E+12,1,2,1,1
35,500,406,2.009E+12,4,1,5,3
35,605,407,2.009E+12,4,2,3,3
35,500,408,2.009E+12,2,2,4,2
35,601,409,2.009E+12,5,2,4,3
35,601,410,2.009E+12,4,2,3,1
35,603,411,2.009E+12,3,2,2,2
35,603,412,2.009E+12,5,2,3,3
35,602,413,2.009E+12,1,1,2,1
35,500,414,2.009E+12,1,2,2,2
35,601,415,2.009E+12,5,1,4,3
35,602,416,2.009E+12,2,2,2,2
35,604,417,2.009E+12,5,2,3,1
35,605,418,2.009E+12,4,2,2,2
35,604,419,2.009E+12,4,1,3,3
35,601,420,2.009E+12,2,2,1,3
35,603,421,2.009E+12,4,2,3,3
35,601,422,2.009E+12,4,2,2,1
35,601,423,2.009E+12,4,2,4,2
35,602,424,2.009E+12,4,1,3,3
35,601,425,2.009E+12,2,1,3,1
35,500,426,2.009E+12,1,2,2,1
35,500,427,2.009E+12,3,2,3,1
35,605,428,2.009E+12,2,1,2,3
35,602,429,2.009E+12,5,2,3,2
35,604,430,2.009E+12,1,2,1,1
35,500,431,2.009E+12,4,2,2,4
35,603,432,2.009E+12,4,1,4,3
35,604,433,2.009E+12,1,2,3,3
35,602,434,2.009E+12,1,2,2,2
35,601,435,2.009E+12,5,2,3,1
35,603,436,2.009E+12,2,2,3,2
35,602,437,2.009E+12,2,2,2,2
35,603,438,2.009E+12,1,2,2,1
35,604,439,2.009E+12,4,1,3,3
35,604,440,2.009E+12,2,2,2,2
35,605,441,2.009E+12,4,2,5,3
35,604,442,2.009E+12,4,2,2,2
35,603,443,2.009E+12,4,1,3,3
35,604,444,2.009E+12,1,2,1,1
35,605,445,2.009E+12,2,1,4,2
35,602,446,2.009E+12,4,2,3,2
35,603,447,2.009E+12,4,1,3,3
35,500,448,2.009E+12,2,2,3,1
35,605,449,2.009E+12,3,2,3,1
35,601,450,2.009E+12,5,2,4,3
35,500,451,2.009E+12,3,2,3,2
35,602,452,2.009E+12,2,2,3,1
35,601,453,2.009E+12,5,2,4,4
35,604,454,2.009E+12,1,2,2,1
35,500,455,2.009E+12,2,1,3,2
35,605,456,2.009E+12,5,2,3,3
35,603,457,2.009E+12,3,2,2,2
35,603,458,2.009E+12,3,2,2,3
35,602,459,2.009E+12,1,2,1,1
35,603,460,2.009E+12,4,1,3,3
35,500,461,2.009E+12,4,2,3,2
35,605,462,2.009E+12,3,1,4,3
35,603,463,2.009E+12,3,2,4,2
35,601,464,2.009E+12,1,2,2,1
35,601,465,2.009E+12,2,2,4,1
35,604,466,2.009E+12,4,2,4,3
35,605,467,2.009E+12,4,1,3,4
35,603,468,2.009E+12,4,2,2,1
35,604,469,2.009E+12,3,2,3,2
35,601,470,2.009E+12,4,1,4,1
35,500,471,2.009E+12,1,1,2,1
35,603,472,2.009E+12,4,2,3,2
35,604,473,2.009E+12,3,1,4,3
35,601,474,2.009E+12,5,1,3,3
35,500,475,2.009E+12,5,2,3,1
35,500,476,2.009E+12,3,2,4,3
35,604,477,2.009E+12,2,1,3,3
35,605,478,2.009E+12,2,2,3,3
35,500,479,2.009E+12,1,2,2,2
35,602,480,2.009E+12,4,2,3,2
35,603,481,2.009E+12,4,2,2,1
35,601,482,2.009E+12,4,2,2,1
35,601,483,2.009E+12,3,2,3,3
35,500,484,2.009E+12,5,2,2,2
35,604,485,2.009E+12,4,1,4,3
35,605,486,2.009E+12,2,1,3,2
35,603,487,2.009E+12,3,1,3,1
35,602,488,2.009E+12,3,2,3,3
35,602,489,2.009E+12,4,2,3,3
35,500,490,2.009E+12,1,1,3,3
35,604,491,2.009E+12,2,2,3,1
35,601,492,2.009E+12,4,2,3,3
35,601,493,2.009E+12,2,2,3,1
35,604,494,2.009E+12,1,2,3,3
35,500,495,2.009E+12,1,2,2,1
35,601,496,2.009E+12,2,1,2,2
35,500,497,2.009E+12,4,1,4,3
35,601,498,2.009E+12,4,2,3,2
35,604,499,2.009E+12,4,2,3,1
35,603,500,2.009E+12,5,2,2,1
35,603,501,2.009E+12,3,1,2,2
35,605,502,2.009E+12,2,1,3,3
35,605,503,2.009E+12,2,2,2,1
35,602,504,2.009E+12,1,1,2,2
35,605,505,2.009E+12,2,1,2,2
35,605,506,2.009E+12,2,1,3,2
35,500,507,2.009E+12,1,2,2,2
35,500,508,2.009E+12,4,1,4,2
35,500,509,2.009E+12,2,2,2,2
35,500,510,2.009E+12,1,2,3,1
35,601,511,2.009E+12,5,2,3,1
35,601,512,2.009E+12,3,2,2,1
35,603,513,2.009E+12,3,2,3,2
35,602,514,2.009E+12,4,2,3,1
35,602,515,2.009E+12,4,2,3,3
35,601,516,2.009E+12,5,1,3,2
35,603,517,2.009E+12,5,2,2,3
35,605,518,2.009E+12,3,1,3,3
35,604,519,2.009E+12,4,2,2,2
35,604,520,2.009E+12,5,1,3,3
35,605,521,2.009E+12,2,2,2,2
35,603,522,2.009E+12,2,2,3,1
35,603,523,2.009E+12,3,1,2,2
